0	2960
1	6034
2	4894
3	3584
4	2222
5	1711
6	1573
7	1570
8	1560
9	2891
10	5927
11	4904
12	4044
13	3672
14	3289
15	2802
16	2504
17	2100
18	1640
19	1796
20	2049
21	2449
22	4569
23	6519
24	6541
25	8613
26	7530
27	4714
28	4030
29	3967
30	4053
31	6454
32	8698
33	8855
34	10517
35	10185
36	7281
37	5929
38	5057
39	4118
40	3194
41	2857
42	1939
43	1695
44	2243
45	3304
46	4673
47	6563
48	8678
49	8956
50	6442
51	4826
52	3914
53	3701
54	4714
55	6708
56	9756
57	8690
58	11832
59	11389
60	7330
61	6254
62	5758
63	4621
64	3298
65	1968
66	1632
67	1629
68	1752
69	2306
70	4690
71	6202
72	6888
73	7352
74	5723
75	4459
76	4064
77	3983
78	4040
79	7422
80	8497
81	10545
82	11170
83	8708
84	8306
85	5625
86	4712
87	3413
88	2124
89	2154
90	2033
91	1703
92	2066
93	3378
94	5336
95	6488
96	7341
97	7851
98	5760
99	4939
100	4317
101	4266
102	4690
103	6768
104	8744
105	10548
106	11229
107	7519
108	7225
109	6032
110	4473
111	4191
112	3439
113	2152
114	1438
115	1388
116	1994
117	2792
118	6265
119	5910
120	7388
121	8753
122	6340
123	4766
124	3938
125	4627
126	4701
127	7503
128	9310
129	10770
130	11507
131	9507
132	6748
133	5500
134	3829
135	2879
136	3145
137	2148
138	1821
139	1759
140	2249
141	3435
142	6327
143	7793
144	9146
145	8151
146	6816
147	4435
148	3705
149	4012
150	5747
151	7072
152	8272
153	13461
154	14270
155	9156
156	6696
157	4748
158	4428
159	4414
160	2610
161	2024
162	2042
163	2182
164	2438
165	3579
166	6321
167	6028
168	7743
169	7555
170	5614
171	4553
172	3533
173	4010
174	5028
175	8278
176	7704
177	10820
178	10481
179	9147
180	8157
181	5086
182	4089
183	2999
184	2205
185	2050
186	1516
187	1591
188	2318
189	4834
190	6564
191	6216
192	7123
193	6946
