0	1488	317
1	1494	316
2	1431	321
3	1573	312
4	1559	322
5	1521	321
6	1413	347
7	1301	316
8	1485	320
9	1422	317
10	1399	307
11	1291	317
12	1374	317
13	1291	315
14	1448	315
15	1628	316
16	1540	340
17	1438	322
18	7	2
19	79	41
20	50	31
21	164	74
22	194	76
23	0	0
24	305	113
25	0	0
26	0	0
27	38	23
28	116	40
29	169	72
30	14	10
31	1	1
32	104	63
33	0	0
34	37	31
35	0	0
36	936	179
37	0	0
38	59	37
39	148	63
40	202	83
41	60	41
42	161	81
43	0	0
44	101	79
45	66	48
46	141	74
47	40	27
48	160	95
49	83	48
50	0	0
51	117	35
52	48	41
53	67	26
54	69	56
55	65	53
56	0	0
57	232	93
58	265	117
59	0	0
60	0	0
61	2	1
62	0	0
63	0	0
64	56	39
65	0	0
66	79	43
67	246	150
68	0	0
69	127	58
70	147	74
71	0	0
72	0	0
73	0	0
74	39	19
75	57	34
76	4	1
77	0	0
78	68	52
79	22	16
80	0	0
81	18	12
82	7	5
83	12	11
84	37	31
85	63	48
86	59	31
87	11	5
88	143	96
89	63	41
90	0	0
91	5	3
92	0	0
93	46	40
94	0	0
95	147	91
96	12	10
97	31	29
98	18	14
99	136	82
100	127	85
101	7	5
102	35	21
103	15	11
104	28	25
105	11	6
106	31	16
107	758	202
108	18	11
109	31	24
110	0	0
111	69	33
112	32	18
113	29	2
114	62	25
115	296	113
116	0	0
117	53	36
118	113	26
119	34	24
120	0	0
121	106	68
122	208	113
123	0	0
124	40	26
125	59	42
126	133	49
127	133	95
128	5	5
129	263	129
130	0	0
131	55	42
132	0	0
133	19	13
134	42	31
135	20	6
136	65	42
137	177	108
138	139	59
139	213	125
140	78	30
141	71	33
142	1	1
143	70	55
144	6	6
145	24	18
146	228	105
147	57	41
148	136	102
149	100	71
150	109	68
151	26	14
152	0	0
153	14	10
154	25	13
155	6	4
156	60	39
157	0	0
158	0	0
159	92	45
160	105	50
161	0	0
162	8	2
163	136	87
164	65	33
165	0	0
166	179	62
167	182	101
168	40	19
169	0	0
170	381	141
171	2	2
172	0	0
173	0	0
174	35	18
175	0	0
176	15	7
177	0	0
178	122	65
179	41	36
180	79	58
181	0	0
182	0	0
183	13	10
184	27	8
185	82	30
186	156	93
187	0	0
188	93	62
189	0	0
190	137	52
191	1	1
192	19	7
193	0	0
194	79	61
195	66	36
196	20	19
197	66	39
198	0	0
199	0	0
200	0	0
201	45	33
202	31	16
203	0	0
204	179	87
205	7	5
206	0	0
207	52	36
208	0	0
209	163	89
210	296	152
211	9	2
212	0	0
213	59	29
214	0	0
215	95	35
216	0	0
217	10	8
218	13	13
219	0	0
220	29	22
221	87	50
222	174	101
223	64	36
224	62	38
225	16	11
226	157	113
227	122	74
228	54	28
229	0	0
230	42	31
231	129	56
232	17	14
233	26	23
234	89	48
235	11	10
236	38	13
237	56	30
238	19	5
239	0	0
240	0	0
241	184	110
242	0	0
243	143	92
244	99	71
245	60	54
246	15	2
247	47	27
248	38	27
249	12	8
250	103	59
251	91	52
252	1	1
253	14	8
254	5	2
255	14	10
256	32	22
257	50	32
258	70	42
259	60	52
260	259	107
261	261	110
262	0	0
263	0	0
264	181	104
265	31	20
266	64	35
267	27	19
268	0	0
269	16	3
270	55	44
271	132	69
